date,unit_sales
2015-01-01,87.86755
2015-01-02,65.77633900000001
2015-01-03,64.88806899999999
2015-01-04,73.092378
2015-01-05,56.926730000000006
2015-01-06,47.788674
2015-01-07,49.416084999999995
2015-01-08,41.748269
2015-01-09,43.938123
2015-01-10,56.995691
2015-01-11,69.48609499999999
2015-01-12,44.284554
2015-01-13,39.379999
2015-01-14,40.092397
2015-01-15,37.114615
2015-01-16,42.359994
2015-01-17,62.18654300000001
2015-01-18,67.827703
2015-01-19,44.82179
2015-01-20,40.530878
2015-01-21,41.320259
2015-01-22,36.486253999999995
2015-01-23,41.693618
2015-01-24,58.884987
2015-01-25,63.162395
2015-01-26,41.000962
2015-01-27,36.000985
2015-01-28,37.693591999999995
2015-01-29,34.306216
2015-01-30,43.589967
2015-01-31,65.620584
2015-02-01,81.529448
2015-02-02,53.830189000000004
2015-02-03,47.524984
2015-02-04,45.192315
2015-02-05,40.749196999999995
2015-02-06,43.714755
2015-02-07,59.99116
2015-02-08,62.299423
2015-02-09,45.800215
2015-02-10,40.082599
2015-02-11,40.011533
2015-02-12,38.496314
2015-02-13,49.326547
2015-02-14,56.285506999999996
2015-02-15,43.488667
2015-02-16,42.074090000000005
2015-02-17,48.308813
2015-02-18,49.749906
2015-02-19,43.635991
2015-02-20,48.368102
2015-02-21,57.275307999999995
2015-02-22,69.133907
2015-02-23,44.334989
2015-02-24,40.789028
2015-02-25,39.577495
2015-02-26,35.493823
2015-02-27,43.648843
2015-02-28,63.526340000000005
2015-03-01,82.043498
2015-03-02,54.603779
2015-03-03,49.236523999999996
2015-03-04,48.333055
2015-03-05,42.859981
2015-03-06,46.372398
2015-03-07,65.737721
2015-03-08,65.95634100000001
2015-03-09,48.037195000000004
2015-03-10,45.788176
2015-03-11,42.561772999999995
2015-03-12,38.258866999999995
2015-03-13,43.4806
2015-03-14,61.660976
2015-03-15,66.270087
2015-03-16,46.659843
2015-03-17,41.535952
2015-03-18,39.863
2015-03-19,37.332438
2015-03-20,46.768795000000004
2015-03-21,62.409923
2015-03-22,64.64664
2015-03-23,46.266424
2015-03-24,40.736971999999994
2015-03-25,40.825819
2015-03-26,36.700696
2015-03-27,43.690661
2015-03-28,58.98546999999999
2015-03-29,64.121377
2015-03-30,43.787884000000005
2015-03-31,44.327889
2015-04-01,55.722316000000006
2015-04-02,52.458890000000004
2015-04-03,51.029678999999994
2015-04-04,65.38942
2015-04-05,65.96695799999999
2015-04-06,51.973482000000004
2015-04-07,46.478722
2015-04-08,46.114021
2015-04-09,39.871832
2015-04-10,44.586929999999995
2015-04-11,61.060302
2015-04-12,65.993902
2015-04-13,45.372376
2015-04-14,40.36234
2015-04-15,43.810629
2015-04-16,41.864319
2015-04-17,45.630324
2015-04-18,62.915566000000005
2015-04-19,68.454495
2015-04-20,48.169477
2015-04-21,42.601731
2015-04-22,42.110821
2015-04-23,39.214704
2015-04-24,43.762551
2015-04-25,58.878151
2015-04-26,62.5901
2015-04-27,42.504915000000004
2015-04-28,37.483419
2015-04-29,39.872433
2015-04-30,43.261214
2015-05-01,67.45094
2015-05-02,71.105227
2015-05-03,74.288779
2015-05-04,55.624115
2015-05-05,50.949323
2015-05-06,50.499955
2015-05-07,44.408231
2015-05-08,48.130421999999996
2015-05-09,70.67054399999999
2015-05-10,55.806227
2015-05-11,52.486405000000005
2015-05-12,45.216287
2015-05-13,44.691564
2015-05-14,39.560967
2015-05-15,48.353553999999995
2015-05-16,70.979855
2015-05-17,79.818613
2015-05-18,49.659501
2015-05-19,44.637549
2015-05-20,46.623863
2015-05-21,41.700614
2015-05-22,45.872792
2015-05-23,65.888292
2015-05-24,73.806843
2015-05-25,53.480279
2015-05-26,46.313241
2015-05-27,48.180496000000005
2015-05-28,42.850688
2015-05-29,56.051953000000005
2015-05-30,85.572829
2015-05-31,102.356477
2015-06-01,81.20812
2015-06-02,75.343064
2015-06-03,74.79294499999999
2015-06-04,60.899465
2015-06-05,65.767513
2015-06-06,90.443727
2015-06-07,107.06959199999999
2015-06-08,69.69528100000001
2015-06-09,62.372510999999996
2015-06-10,64.143537
2015-06-11,51.001815
2015-06-12,60.6616
2015-06-13,84.072778
2015-06-14,96.77457199999999
2015-06-15,66.655713
2015-06-16,67.26378199999999
2015-06-17,67.717016
